RCPT,RCRK
IMP1,VTP1,IMP2,VTP2,IMP3,BSAA,BSBA,BSCA,PYEA,BSFA,BSGA,PLHA,PRHA,PTHA,PFNA,PLNA,BSPA,BSSA,BSTA,PSTA,BSWA,PLBB,PRBB,RCCB,PLCB,PRCB,PLFB,PRFB,PKAC,RPAC,PACC,PMPC,PPRC,RCHD,RPHD,PUND,PSPD,PGHE,PPOE,PBRE,PEYE,TRAF,PPBF,PSTG,PBSH,PLSH,PRSH,RATH,PCTH,PLTH,PRTH,RIWH,PAGI,PRSI,PINJ,PBAK,PTAK,PPBK,PRBK,PNEK,PFLK,PFMK,RCRK,PTRK,PBTK,PTAL,PIBL,PLEL,PREL,PLKL,PSPL,PLSL,RCCM,PHLM,PHAN,PTEN,PLKN,PRKN,PLSO,RPGP,PTHP,PJMP,PTYP,PCAR,PSAR,PTAR,RICR,PJER,PLKR,RCPR,PKPR,PSPR,PLSR,PRTR,PSTR,POVR,PAWR,PLWR,PRWR,PRAS,PPBS,PRBS,PDIS,PVIS,RELS,PRNS,PPOS,PPRS,PYRS,BSAT,STAT,BSBT,SPCT,BSCT,BSFT,PHGT,BSGT,PWGT,PHIT,BSPT,PKRT,BSST,BSTT,BSWT,PBCV,PMCV,PZCV,PFMV,PJMV,PPMV,PSMV,RCOV,PESV,PBFW,PLHW,PLTW,
8,0,10,0,4,6,10,7,0,10,6,3,3,40,George,Barnett,5,10,10,80,0,2,2,3,1,1,0,0,40,0,91,0,19,2355,0,0,87,212,49,0,0,61,31,0,24,4,4,0,56,2,2,0,79,2640,83,1,40,40,40,0,0,1,550,59,60,0,42,0,0,0,5,10,0,0,0,2,1,1,0,1,40,73,0,66,68,0,0,0,0,47,40,5,10,62,61,66,56,11,11,0,30,39,1,0,67,1,1,24,46,0,9,6,55,29,0,72,0,40,42,5,64,10,10,0,65,24,26,18,75,34,78,64,78,40,0,0,
10,0,12,0,9,10,10,0,0,3,9,3,3,40,Chad,Moore,6,10,7,79,0,0,1,3,0,0,1,0,40,0,78,0,71,819,1,0,64,4,45,0,0,40,38,0,71,4,4,0,66,2,2,0,52,2634,77,0,72,67,64,0,0,22,551,29,40,0,68,0,0,0,5,0,0,0,0,1,2,2,0,8,40,78,0,54,18,0,0,1,0,68,40,5,0,45,63,61,42,10,10,0,38,24,4,0,37,1,10,70,41,24,3,15,37,20,20,75,15,72,67,0,47,21,14,0,20,51,58,71,29,73,36,66,17,23,0,0,
12,0,10,0,4,6,10,7,0,10,6,3,3,40,Dominique,Mathis,5,10,10,80,0,0,0,3,3,3,0,0,40,0,80,0,34,10013,0,0,88,40,40,0,0,75,22,0,29,3,3,0,58,1,1,0,72,2631,88,0,40,40,40,0,0,32,552,53,48,0,23,10,10,0,0,0,0,3,0,0,1,1,0,3,40,81,0,79,48,0,0,1,0,92,40,0,0,73,49,64,59,2,2,0,22,21,2,0,67,1,3,31,47,0,39,6,83,29,0,75,0,40,38,5,64,10,10,0,72,27,25,23,38,34,68,65,61,22,0,0,
6,0,10,0,9,4,2,8,0,0,3,3,3,40,Brandon,Avery,4,3,2,69,0,0,0,3,0,0,0,0,40,0,70,0,67,8864,0,0,62,228,43,0,0,25,27,0,71,4,4,0,45,1,1,0,64,2619,84,0,72,66,67,0,0,14,553,25,40,0,65,13,13,0,0,0,0,3,0,0,1,1,0,9,40,46,0,40,21,0,0,0,0,37,40,0,0,30,72,64,53,0,0,0,27,17,5,0,23,3,12,63,49,21,34,21,26,8,20,79,16,131,69,0,40,10,16,0,31,52,53,63,26,68,31,67,22,17,0,0,
9,0,2,0,13,6,10,7,0,10,6,3,3,40,Seth,Brown,5,10,10,80,0,0,0,3,1,1,1,1,40,0,80,0,36,10908,0,0,84,164,56,0,0,66,34,0,32,3,3,0,71,1,1,0,78,2617,80,0,42,40,40,0,0,7,554,56,66,0,35,0,0,0,0,4,0,3,0,1,1,1,0,3,40,75,0,92,51,0,0,1,0,93,40,0,4,72,43,67,51,0,0,0,33,37,2,0,65,1,3,32,44,0,42,6,72,29,0,76,0,56,37,5,78,10,10,0,73,26,29,34,54,32,40,62,54,38,0,0,
12,0,8,0,4,8,10,5,0,10,7,3,3,50,Josh,Lamb,7,8,7,81,0,0,0,3,3,3,0,0,40,0,89,0,61,2066,0,0,86,166,47,0,0,60,20,0,66,3,3,0,71,1,1,0,82,2614,84,0,73,40,42,0,0,5,555,33,40,0,42,0,0,0,0,10,0,2,0,1,1,1,0,13,50,68,0,58,33,0,0,0,0,17,40,0,10,63,65,69,48,1,1,0,20,42,4,1,64,3,17,74,82,0,8,6,52,30,0,73,0,23,77,0,60,0,1,0,62,63,71,61,28,59,21,67,21,42,0,0,
5,0,10,0,8,10,10,4,0,10,6,3,3,40,Charles,Carroll,8,6,10,78,0,0,0,3,1,1,0,0,40,0,80,0,36,2183,0,0,84,210,49,0,0,55,22,0,37,3,3,0,74,1,1,0,84,2589,83,0,42,40,40,0,0,0,556,51,69,0,22,13,13,0,5,10,0,2,0,2,1,1,0,3,40,74,0,82,45,0,0,0,0,94,40,5,10,69,42,67,55,0,0,0,21,24,1,0,65,1,3,35,44,5,8,10,56,29,26,72,10,38,37,0,72,10,10,0,75,31,31,31,42,31,62,64,59,24,0,0,
9,0,10,0,4,10,10,0,0,3,9,3,3,40,Will,Morgan,6,10,7,75,0,0,0,3,0,0,0,0,40,0,73,0,70,7699,0,0,64,3,40,0,0,42,29,0,76,3,3,0,46,2,2,0,58,2552,80,0,75,68,65,1,0,16,557,23,40,0,64,12,12,0,5,0,0,2,0,2,2,2,0,8,40,65,0,46,23,0,0,1,0,69,40,5,0,42,77,68,41,14,14,0,28,22,4,0,39,3,10,84,42,24,30,15,37,20,20,72,15,71,69,0,40,21,14,0,28,54,55,75,34,74,39,68,32,23,0,0,
12,0,10,0,2,6,10,7,0,10,6,3,3,40,Chad,McCoy,5,10,10,75,0,0,0,3,2,2,0,0,40,0,83,0,24,561,1,0,84,107,74,0,0,64,52,0,44,3,3,0,59,2,2,0,79,2548,83,0,50,51,47,0,0,18,558,69,54,0,48,0,0,0,0,12,0,0,0,1,1,1,0,1,40,78,0,60,79,0,0,0,0,48,40,0,12,69,61,59,44,11,11,0,52,47,5,0,66,1,1,34,38,0,2,6,60,29,0,72,0,55,53,5,61,10,10,0,72,36,29,31,63,29,62,59,61,47,0,0,
4,0,10,0,2,10,10,4,1,10,6,3,3,40,Lance,Marshall,8,6,10,92,0,0,0,3,0,0,0,0,40,0,88,0,75,8813,0,0,93,3,40,0,0,66,42,0,38,3,3,1,58,2,2,0,91,2538,83,1,61,42,43,0,0,32,559,76,74,0,55,10,10,0,0,10,0,3,0,2,1,1,0,18,40,75,0,71,84,0,0,0,0,54,40,0,10,73,64,79,68,10,10,0,42,43,0,0,81,1,1,84,59,5,34,10,69,29,26,73,10,55,42,0,86,10,10,0,73,75,79,33,76,33,77,74,87,44,0,0,
4,0,10,0,2,6,10,7,0,10,6,3,3,40,B.J.,Christian,5,10,10,79,0,0,0,3,1,1,0,0,40,0,78,0,36,12317,0,0,85,168,50,0,0,61,24,0,43,3,3,0,61,1,1,0,68,2508,86,1,49,40,40,0,0,31,560,50,58,0,30,10,10,0,0,12,0,3,0,0,1,1,0,3,40,84,0,84,52,0,0,0,0,95,40,0,12,72,55,61,53,1,1,0,24,24,1,0,67,1,3,40,43,0,48,6,66,29,0,75,0,22,33,5,76,10,10,0,69,33,33,35,41,34,48,63,54,24,0,0,
4,0,12,0,9,5,10,4,0,10,6,0,0,77,Randy,Hall,8,6,10,87,0,0,0,3,0,0,0,0,40,0,77,0,36,2341,0,0,84,165,40,0,0,62,40,0,28,3,3,0,62,2,2,0,85,2464,86,0,47,40,40,0,1,1,561,59,72,0,23,9,9,0,0,0,0,2,0,2,1,1,0,0,86,79,0,56,48,0,0,1,0,25,40,0,0,61,59,75,59,1,1,0,39,40,5,0,61,3,0,24,31,5,9,10,54,29,26,72,10,34,37,0,52,10,10,0,75,27,28,25,75,21,70,68,81,39,0,1,
6,0,11,0,7,5,10,2,0,7,8,3,3,40,Raymond,Andrews,10,4,0,77,0,1,1,3,0,0,3,3,40,0,84,0,63,10844,0,0,79,50,43,0,0,54,39,0,77,4,4,0,58,2,2,0,61,2459,86,1,73,40,40,0,0,31,562,30,40,0,42,0,0,0,0,0,0,3,0,2,2,2,0,11,40,60,0,51,34,0,0,1,0,28,40,0,0,18,75,65,46,0,0,0,39,40,1,0,57,1,14,67,66,5,42,26,47,10,11,75,9,93,72,8,58,4,10,0,27,60,52,65,27,71,24,66,29,41,0,1,
8,0,2,0,10,6,10,7,0,10,6,3,3,40,Jordan,Hughes,5,10,10,80,0,0,0,3,3,3,0,0,40,0,78,0,44,9589,0,0,86,165,40,0,0,58,48,0,46,4,4,0,50,2,2,0,82,2454,78,1,52,48,46,0,0,18,563,69,68,0,52,12,12,0,0,10,0,2,0,0,1,1,0,1,40,74,0,72,79,0,0,0,0,49,40,0,10,59,60,67,52,0,0,0,48,46,3,0,67,3,1,37,46,0,37,6,56,29,0,71,0,53,42,5,67,10,10,0,68,17,19,32,75,30,79,65,76,45,0,0,
12,0,8,0,5,10,10,0,0,3,9,0,0,40,Dustin,Wright,6,10,7,67,0,3,3,3,0,0,0,0,40,0,79,0,36,7482,0,0,61,221,52,0,0,36,76,0,43,4,4,0,40,2,2,0,62,2447,83,0,67,76,70,0,0,13,564,33,44,0,76,0,0,1,5,0,0,3,0,2,2,2,0,5,40,53,0,40,34,0,0,0,1,41,40,5,0,32,81,65,61,10,10,0,76,70,1,0,24,5,5,30,24,24,29,15,20,20,20,76,15,143,48,0,57,21,14,0,47,26,27,33,57,32,42,66,44,70,0,0,
8,0,10,0,4,5,10,2,0,7,8,3,3,40,James,Lloyd,10,4,0,80,0,1,1,3,2,2,0,0,40,0,88,0,68,9570,0,0,84,169,42,0,0,60,62,0,43,3,3,1,62,1,1,0,75,2414,80,0,75,62,52,0,0,15,565,64,70,0,52,0,0,0,5,10,0,0,0,0,1,1,0,18,40,80,0,66,55,0,0,0,0,55,40,5,10,69,67,63,48,11,11,0,61,52,6,0,67,3,15,64,71,5,37,26,61,10,11,72,9,27,70,8,52,4,10,0,60,67,73,67,92,61,86,64,82,52,0,0,
4,0,13,0,12,10,5,10,0,10,9,20,20,40,Cory,Gray,5,10,10,72,0,0,0,3,0,0,0,0,40,0,83,0,43,9594,0,0,67,223,59,0,0,39,73,0,53,4,4,0,40,2,2,0,62,2410,78,0,47,73,71,0,0,14,566,39,43,0,77,7,7,1,0,0,0,3,0,1,2,2,0,6,40,42,0,41,39,0,0,0,1,26,40,0,0,30,69,61,47,11,11,0,72,72,5,0,23,5,8,54,33,21,37,21,19,15,20,71,17,140,60,0,40,20,16,0,52,46,49,46,56,46,53,65,40,72,0,1,
12,0,7,0,10,8,10,5,0,10,7,0,0,55,Dwayne,Rivero,5,8,7,82,0,0,0,3,3,3,0,0,71,0,75,0,36,8463,0,0,74,69,40,0,0,38,19,0,39,3,3,0,55,1,1,0,74,2378,75,0,43,40,40,0,0,32,567,23,57,0,15,10,10,0,0,0,0,3,0,0,1,1,0,15,52,64,0,43,14,0,0,1,0,1,90,0,0,20,52,80,68,0,0,0,18,14,1,0,39,3,19,24,20,0,33,6,20,30,0,75,0,37,31,0,40,0,1,0,49,20,20,15,49,15,50,82,58,14,0,1,
10,0,4,0,12,10,10,4,0,10,6,3,3,40,Randall,Anderson,8,6,10,77,0,0,0,3,0,0,0,0,40,0,80,0,42,75,0,0,88,6,40,0,0,60,27,0,22,3,3,0,66,1,1,0,74,2327,73,0,43,40,40,0,0,16,568,40,52,0,21,0,0,0,5,0,0,2,0,1,1,1,0,3,40,73,0,91,48,0,0,1,0,96,40,5,0,70,43,64,66,0,0,0,27,31,4,1,60,1,3,32,47,5,0,10,57,29,26,71,10,26,53,0,65,10,10,0,77,28,30,38,63,33,41,65,54,30,0,0,
12,0,10,0,4,10,2,6,0,4,7,3,3,40,Garrett,Mills,7,10,6,84,0,0,0,3,3,3,2,2,40,0,91,0,78,10913,0,0,75,163,40,0,0,53,44,0,79,3,3,0,64,1,1,0,79,2300,87,0,70,44,51,0,0,31,569,46,40,0,43,0,0,0,5,12,0,3,0,0,1,1,0,10,40,78,0,40,46,0,0,0,0,35,40,5,12,51,77,75,48,3,3,0,43,52,1,0,55,3,15,80,71,5,42,20,46,0,5,72,0,55,79,10,58,10,5,0,57,76,81,75,83,67,65,69,46,51,0,0,
10,0,3,0,4,10,5,10,0,10,9,3,3,40,Chad,Johnson,5,10,10,75,0,0,0,3,1,1,0,0,40,0,87,0,70,10955,0,0,75,182,41,0,0,57,17,0,74,4,4,0,50,2,2,0,64,2298,89,0,73,63,64,0,0,35,570,21,40,0,63,0,0,0,0,0,0,3,0,0,1,1,0,8,40,65,0,41,20,0,0,1,0,70,40,0,0,41,68,69,45,11,11,0,16,35,1,0,54,3,10,70,48,21,42,21,40,15,20,76,17,110,74,0,52,20,16,0,25,58,55,65,20,74,20,67,25,36,0,0,
12,0,4,0,8,4,2,8,0,0,3,3,3,40,Matt,Parham,4,3,2,79,0,0,0,3,3,3,0,0,40,0,78,0,71,12318,1,0,59,182,40,0,0,43,15,0,75,4,4,0,56,1,1,0,68,2290,80,0,70,63,62,0,0,13,571,23,40,0,67,0,0,0,0,0,0,3,0,0,1,1,0,9,40,64,0,50,16,0,0,0,0,38,40,0,0,38,66,67,56,15,15,0,15,38,1,1,41,5,12,72,41,21,48,21,40,8,20,75,16,103,70,0,40,10,16,0,30,53,56,74,28,74,29,68,22,39,0,0,
5,0,8,0,10,4,2,8,0,0,3,19,19,40,Mike,McKenzie,4,3,2,65,0,0,0,3,0,0,0,0,40,0,84,0,36,10938,0,0,54,57,55,0,0,35,74,0,42,4,4,0,40,2,2,0,59,2267,76,0,40,74,72,1,0,3,572,37,41,0,78,3,3,0,0,0,0,0,0,1,2,2,0,6,40,45,0,40,37,0,0,0,0,27,40,0,0,35,75,64,66,0,0,0,73,73,4,0,27,1,8,34,28,21,42,21,19,8,20,75,16,112,53,0,40,10,16,0,55,33,30,30,55,31,36,66,42,73,0,1,
10,0,2,0,4,5,10,4,0,10,6,0,0,68,Joe,Smith,8,6,10,80,0,0,0,3,1,1,0,0,40,0,80,0,37,8059,0,0,73,127,59,0,0,49,39,0,41,3,3,0,50,1,1,0,71,2266,82,0,48,40,40,0,1,16,573,52,62,0,21,0,0,0,5,4,0,0,0,2,1,1,0,0,77,70,0,60,44,0,0,1,0,26,40,5,4,49,55,60,53,1,1,0,39,39,5,0,45,1,0,30,35,5,31,10,44,29,26,77,10,60,36,0,46,10,10,0,55,22,28,22,52,23,51,64,62,39,0,1,
4,0,2,0,8,6,10,7,0,10,6,3,3,40,Larry,Murphy,5,10,10,84,0,0,0,3,2,2,0,0,40,0,78,0,48,52,0,0,89,212,40,0,0,63,16,0,47,3,3,0,70,1,1,0,78,2246,78,0,55,40,40,0,0,5,574,51,46,0,31,0,0,0,0,1,0,0,0,1,1,1,0,3,40,81,0,71,48,0,0,1,0,97,40,0,3,71,50,65,54,0,0,0,17,28,5,0,65,3,3,41,50,0,0,6,51,29,0,73,0,22,48,5,74,10,10,0,67,57,47,38,45,37,69,65,53,28,0,0,
12,0,9,0,10,10,10,0,0,3,9,3,3,40,Willie,Lawson,6,10,7,63,0,1,1,3,0,0,0,0,40,0,68,0,70,118,0,0,60,25,46,0,0,22,30,0,78,4,4,0,44,1,1,0,56,2232,79,0,71,64,68,0,0,13,575,22,40,0,65,0,0,0,5,0,0,3,0,1,1,1,0,9,40,53,0,40,31,0,0,0,0,39,40,5,0,21,78,69,52,13,13,0,29,23,5,0,23,3,12,73,56,24,0,15,26,20,20,76,15,126,69,0,42,21,14,0,32,54,48,74,26,74,38,67,38,23,0,0,
4,0,11,0,8,4,2,8,0,0,3,3,3,40,Willie,McQueen,4,3,2,62,0,2,2,3,0,0,0,0,40,0,66,0,65,5968,0,0,68,171,48,0,0,22,30,0,70,4,4,0,40,2,2,0,62,2211,78,0,65,67,67,1,0,13,576,32,40,0,65,0,0,0,0,0,0,3,0,0,1,1,0,9,40,46,0,40,17,0,0,1,0,40,40,0,0,22,72,61,63,12,12,0,29,33,0,1,19,5,12,61,61,21,23,21,24,8,20,73,16,115,62,0,40,10,16,0,24,55,47,61,27,69,19,67,32,33,0,0,
10,0,11,0,12,6,10,7,0,10,6,3,3,40,Cameron,Green,5,10,10,76,0,0,0,3,0,0,0,0,40,0,76,0,35,8853,1,0,92,203,47,0,0,72,27,0,30,3,3,0,67,1,1,0,88,2200,84,1,45,40,40,0,0,16,577,56,57,0,32,0,0,0,0,0,0,0,0,1,1,1,0,3,40,70,0,79,53,0,0,1,0,98,40,0,0,70,52,69,61,0,0,0,28,28,2,0,62,3,3,34,45,0,34,6,66,29,0,74,0,50,33,5,71,10,10,0,76,29,26,33,43,31,57,64,51,28,0,1,
12,0,6,0,8,10,10,4,0,10,6,3,3,40,Cory,Carey,8,6,10,81,0,0,0,3,0,0,0,0,40,0,79,0,45,2146,0,0,88,93,40,0,0,58,51,0,51,4,4,0,59,2,2,0,81,2195,81,0,40,51,47,0,0,31,578,71,72,0,53,0,0,0,0,12,0,3,0,0,1,1,0,1,40,75,0,67,80,0,0,0,0,50,40,0,12,51,74,70,49,11,11,0,51,46,1,0,62,1,1,34,41,5,8,10,56,29,26,73,10,60,21,0,66,10,10,0,69,37,26,32,81,30,70,65,73,47,0,0,
10,0,12,0,8,10,5,10,0,10,9,13,13,40,Grant,Greer,5,10,10,60,0,2,2,3,0,0,0,0,40,0,89,0,34,10931,0,0,55,179,72,0,0,35,69,0,37,4,4,0,40,2,2,0,68,2183,76,0,49,69,70,0,0,14,579,38,40,0,72,0,0,0,5,0,0,3,0,1,2,2,0,7,40,40,0,40,39,0,0,1,0,17,40,5,0,36,74,62,63,11,11,0,70,70,5,0,20,5,7,37,22,21,42,21,19,15,20,74,17,135,34,0,40,20,16,0,35,31,28,29,19,30,20,63,17,70,0,0,
10,0,4,0,8,6,10,7,0,10,6,0,0,55,Marcus,Collins,5,10,10,89,0,1,1,3,1,1,0,0,80,0,71,0,36,10857,0,0,68,42,40,0,0,18,15,0,43,3,3,0,40,1,1,0,68,2179,85,0,40,40,40,0,0,1,580,36,40,0,14,0,0,0,0,12,0,0,0,2,1,1,0,16,51,40,0,40,37,0,0,0,0,5,84,0,12,16,50,81,68,0,0,0,15,15,4,0,15,3,20,35,19,0,42,6,22,29,0,76,0,59,33,0,40,10,10,0,54,30,34,30,51,30,35,82,38,15,0,1,
10,0,12,0,5,10,5,10,0,10,9,13,13,40,Wayne,Smith,5,10,10,75,0,0,0,3,0,0,0,0,40,0,90,0,37,10779,0,0,73,177,40,0,0,40,81,0,45,4,4,0,40,2,2,0,69,2169,74,0,53,82,78,0,0,14,581,34,45,0,80,9,9,0,5,0,0,3,0,2,2,2,0,6,40,43,0,45,34,0,0,1,0,28,40,5,0,32,81,73,50,14,14,0,82,78,2,0,28,5,8,47,31,21,42,21,19,15,20,75,17,135,56,0,40,20,16,0,51,38,36,37,57,40,54,69,45,78,0,1,
10,0,11,0,12,6,10,7,0,10,6,0,0,40,Ryan,Cole,5,10,10,80,0,1,1,3,1,1,0,0,40,0,79,0,22,8759,0,0,84,165,40,0,0,56,40,0,39,4,4,0,55,2,2,0,76,2146,83,0,40,40,40,0,0,18,582,69,71,0,40,0,0,0,0,0,0,2,0,0,1,1,0,1,40,72,0,58,67,0,0,1,0,51,40,0,0,62,68,66,53,11,11,0,39,37,0,0,69,1,1,36,45,0,34,6,60,29,0,74,0,53,43,5,66,10,10,0,73,23,41,31,78,30,72,65,76,38,0,0,
2,0,10,0,9,10,10,0,0,3,9,3,3,40,Adam,Thomas,6,10,7,64,0,0,0,3,2,2,0,0,40,0,69,0,69,11620,0,0,61,19,40,0,0,36,25,0,74,4,4,0,40,2,2,0,56,2087,83,0,67,67,68,0,0,24,583,37,40,0,65,9,9,1,0,0,0,0,0,1,2,2,0,9,40,58,0,40,31,0,0,1,1,41,40,0,0,38,77,67,53,1,1,0,25,31,6,0,30,5,12,74,41,24,45,15,39,20,20,75,15,140,70,0,42,21,14,0,31,52,57,73,35,74,38,68,27,31,0,0,
8,0,4,0,10,5,10,4,0,10,6,0,0,72,P.J.,Garcia,8,6,10,83,0,0,0,3,0,0,0,0,40,0,73,0,35,4390,0,0,79,161,40,0,1,54,40,0,26,3,3,0,55,2,2,0,68,2038,82,0,40,40,41,0,1,0,584,61,69,0,25,0,10,0,0,0,0,0,0,2,1,1,0,0,75,75,0,56,54,0,0,1,0,27,40,0,0,60,50,67,66,9,0,0,40,41,2,0,53,1,0,25,40,5,17,10,51,29,26,74,10,53,33,0,43,10,10,0,73,25,20,25,78,21,69,68,68,41,1,1,
4,0,10,0,1,4,2,8,0,0,3,3,3,40,David,Hart,4,3,2,73,0,2,2,3,2,2,0,0,40,0,61,0,69,4454,0,0,52,146,41,0,0,26,27,0,70,4,4,0,55,2,2,0,51,2017,75,0,69,66,67,0,0,16,585,35,40,0,63,0,0,1,0,0,0,2,0,2,1,1,0,9,40,61,0,49,30,0,0,0,1,42,40,0,0,22,75,62,66,0,0,0,27,18,2,0,25,5,12,68,42,21,17,21,36,8,20,78,16,110,68,0,43,10,16,0,22,52,55,70,27,68,34,66,14,18,0,0,
10,0,12,0,4,8,10,5,0,10,7,3,3,55,David,Hendrix,7,8,7,86,0,0,0,3,3,3,0,0,40,0,85,0,70,10834,0,0,90,37,40,0,0,55,40,0,57,3,3,0,63,1,1,0,87,2010,85,0,59,40,40,0,0,15,586,19,40,0,20,16,16,0,0,0,0,0,0,1,1,1,0,12,40,83,0,49,20,0,0,1,0,31,40,0,0,56,46,65,58,0,0,0,40,38,0,0,63,1,16,65,74,0,42,6,53,30,0,72,0,15,69,7,68,0,1,0,56,76,69,53,44,50,27,68,16,39,0,0,
5,0,12,0,8,10,10,0,0,3,9,3,3,40,Hayden,Slater,6,10,7,77,0,0,0,3,1,1,0,0,40,0,68,0,74,4367,0,0,50,61,40,0,0,17,28,0,79,4,4,0,42,2,2,0,50,1992,80,0,72,65,64,0,0,37,587,20,40,0,67,0,0,0,5,0,0,3,0,2,1,1,0,9,40,58,0,40,29,0,0,0,0,43,40,5,0,26,74,69,59,12,12,0,28,32,6,0,28,5,12,79,44,24,17,15,38,20,20,75,15,128,74,0,48,21,14,0,32,52,53,77,16,73,25,68,20,32,0,1,
4,0,2,0,5,10,5,10,0,10,9,3,3,40,Russell,Joseph,5,10,10,74,0,0,0,3,3,3,0,0,40,0,72,0,67,8314,0,0,54,178,68,0,0,38,34,0,65,4,4,0,40,1,1,0,60,1984,75,0,66,67,66,0,0,3,588,29,40,0,66,0,0,0,5,6,0,0,0,0,1,1,0,9,40,49,0,40,15,0,0,1,0,44,40,5,6,33,71,56,50,0,0,0,34,20,3,0,24,5,12,60,40,21,32,21,33,15,20,73,17,129,62,0,43,20,16,0,21,50,45,62,32,66,27,61,23,20,0,0,
3,0,4,0,2,6,10,7,0,10,6,3,3,49,Shawn,Peoples,10,10,10,79,0,0,0,3,1,1,0,0,47,0,82,0,55,5973,0,0,75,46,71,0,0,55,35,0,69,3,3,0,70,1,1,0,74,1964,83,0,70,40,40,0,0,36,589,31,40,0,44,10,10,0,5,10,0,3,0,2,1,1,0,14,41,80,0,48,49,0,0,0,0,12,40,5,10,55,76,63,47,0,0,0,34,35,6,0,59,1,18,74,76,0,23,6,52,29,0,71,0,36,73,5,62,10,10,0,49,59,68,51,34,46,25,63,17,34,0,0,
4,0,3,0,7,10,10,0,0,3,9,13,13,40,Carlos,Battle,6,10,7,70,0,0,0,3,0,0,0,0,40,0,90,0,34,2224,0,0,70,183,42,0,0,35,71,0,37,4,4,0,69,2,2,0,66,1962,82,0,40,71,73,0,0,23,590,15,40,0,70,7,7,0,0,0,0,0,0,1,2,2,0,5,40,60,0,60,16,0,0,1,0,42,40,0,0,34,77,64,67,15,15,0,71,73,0,0,27,5,9,35,20,24,8,15,20,20,20,77,15,146,48,0,40,21,14,0,40,20,19,19,20,26,20,68,34,72,0,0,
10,0,13,0,4,4,2,8,0,0,3,3,3,40,Willie,Leak,4,3,2,73,0,0,0,3,3,3,0,0,40,0,77,0,72,10788,0,0,66,66,54,0,0,38,23,0,72,3,3,0,51,2,2,0,59,1952,84,0,66,66,62,8,0,16,591,40,40,0,64,16,16,0,0,0,0,2,0,2,2,2,0,8,40,65,0,52,18,0,0,0,0,71,40,0,0,42,74,66,48,0,0,0,23,23,2,0,38,1,11,82,41,21,42,21,36,8,20,77,16,105,77,0,43,10,16,0,30,51,56,70,28,72,18,64,29,24,0,0,
4,0,12,0,9,10,10,0,0,3,9,13,13,43,Jacob,Suggs,6,10,7,72,0,0,0,3,0,0,0,0,40,0,89,0,36,10759,0,0,66,224,40,0,0,52,76,0,41,4,4,0,56,2,2,0,69,1951,84,0,44,77,76,3,0,3,592,23,40,0,78,0,0,1,5,12,0,0,0,1,2,2,0,5,44,60,0,43,26,0,0,0,1,43,43,5,12,20,83,71,67,11,11,0,76,77,5,0,44,5,5,33,24,24,42,15,28,20,20,78,15,128,50,0,41,21,14,0,42,14,15,23,21,30,57,69,34,77,0,1,
10,0,8,0,4,10,5,10,0,10,9,13,13,40,Randy,Brown,5,10,10,77,0,0,0,3,0,0,0,0,40,0,81,0,51,12334,1,0,57,148,44,0,0,37,70,0,68,4,4,0,40,2,2,0,54,1864,80,0,40,69,75,8,0,13,593,35,40,0,70,0,0,1,5,0,0,3,0,0,2,2,0,5,40,49,0,40,41,0,0,0,1,44,40,5,0,37,69,60,58,3,3,0,70,76,1,0,19,5,5,66,39,21,48,21,16,15,20,76,17,161,55,0,40,20,16,0,45,57,53,54,44,55,40,68,33,75,0,0,
10,0,12,0,5,10,10,4,0,10,6,3,3,40,William,McDonald,8,6,10,84,0,0,0,3,0,0,0,0,40,0,80,0,47,1198,0,0,86,14,65,0,0,61,30,0,46,3,3,0,65,1,1,0,79,1772,86,0,51,40,40,0,0,16,594,39,49,0,23,0,0,0,0,0,0,0,0,1,1,1,0,3,40,78,0,82,49,0,0,1,0,99,40,0,0,80,44,65,54,0,0,0,30,34,6,0,63,1,3,39,48,5,4,10,59,29,26,71,10,29,46,0,61,10,10,0,76,44,46,36,64,37,51,60,65,34,0,0,
2,0,10,0,4,6,10,7,0,10,6,3,3,40,Ryan,Waller,8,10,10,81,0,0,0,3,3,3,0,0,40,0,84,0,63,9011,0,0,89,96,48,0,0,63,39,0,66,3,3,0,71,1,1,0,88,1771,89,1,56,40,40,0,0,7,595,21,40,0,20,15,15,0,0,10,0,3,0,0,1,1,0,12,40,86,0,58,37,0,0,0,0,32,42,0,10,64,42,70,51,11,11,0,40,40,2,0,61,3,16,70,80,0,35,6,56,29,0,73,0,26,67,8,52,10,10,0,60,81,81,50,46,50,25,65,31,39,0,0,
2,0,10,0,8,10,10,4,0,10,6,3,3,40,John,Beck,8,6,10,79,0,0,0,3,1,1,1,1,40,0,84,0,33,2577,0,0,86,163,40,0,0,57,35,0,34,3,3,0,62,1,1,0,85,1758,84,0,41,40,40,0,0,1,596,54,71,0,38,12,12,0,0,12,0,0,0,2,1,1,0,1,40,74,0,65,62,0,0,0,0,52,40,0,12,63,58,69,58,0,0,0,34,37,2,0,74,2,1,34,46,5,10,10,59,29,26,70,10,39,39,0,64,10,10,0,66,38,43,34,74,32,71,65,74,38,0,0,
